6,Travel&Active&Sports,scorpion,00000000000000000000000000000000000000000000000000000000000001000000000000000,1441711949,6.09
21,Food,liquor,00001000000000000000000000000000000000000000000000000000000000000000000000000,1456643264,8.13
12,Animal,horseshoe,00000000000010000000000000000000000000000000000000000000000000000000000000000,1456582176,3.81
33,Social&People,face,00000000000000000000010000000000000000000000000000000000000000000000000000000,1442298587,9.93
15,Family,infant,00000000000000010000000000000000000000000000000000000000000000000000000000000,1427870540,6.09
7,Food,desserts,00000000000000000000000000000000100000000000000000000000000000000000000000000,1452062471,7.52
11,Animal,dogsitting,00000000000000000000000000000000000000000000000000000010000000000000000000000,1434025691,5.88
15,Fashion,solecollector,00000000000000000000000000000000000000000000000001000000000000000000000000000,1431091849,8.52
14,Animal,saltwater,00000000000000000000000000000000000000010000000000000000000000000000000000000,1454952079,6.29
13,Urban,mural,00000000000000000100000000000000000000000000000000000000000000000000000000000,1447409616,8.08
7,Family,infant,00000000000000010000000000000000000000000000000000000000000000000000000000000,1450857040,2.58
54,Travel&Active&Sports,exoticcar,00000000000000000000000000000000000000001000000000000000000000000000000000000,1447559877,9.00
17,Fashion,highheelshoes,00000000000000000000000000000000000000000000000000000000110000000000000000000,1427747710,4.58
31,Holiday&Celebrations,groom,00000000100000000000000000000000000000000000000000000000000000000000000000000,1445664645,3.91
18,Holiday&Celebrations,elves,00000000000000000000000000000000001000000000000000000000000000000000000000000,1449891619,5.61
9,Whether&Season,snowfall,00000000000000000000000000000000000000000000010000000000000000000000000000000,1455607748,7.67
5,Travel&Active&Sports,ravens,00000000000000000000000000000000000000000001000000000000000000000000000000000,1447568867,5.46
14,Travel&Active&Sports,cheering,00000000000000000000000000000000000000000000000000000000000001000000000000000,1455636069,8.88
12,Holiday&Celebrations,santaclaus,00000000000000000000000000000000001000000000000000000000000000000000000000000,1436568463,5.55
12,Travel&Active&Sports,car,00000000000000000000000000000000000000001000000000000000000000000000000000000,1443319368,2.32
47,Whether&Season,wintertime,00000000000000000000000000000000000000000000000000000000000000000000001000000,1453441768,7.36
58,Travel&Active&Sports,igtravel,00000000000000000000000010000000000000000000000000000000000000000000000000000,1435378152,5.78
18,Fashion,eyebrows,00000000000000000000000000000010000000000000000000000000000000000000000000000,1433482129,10.37
15,Animal,tropicalfish,00000000000000000000000000000000000000010000000000000000000000000000000000000,1431921466,6.77
20,Food,cocktails,00001000000000000000000000000000000000000000000000000000000000000000000000000,1456649123,2.81
19,Fashion,lashes,00000000000000000000000000000010000000000000000000000000000000000000000000000,1446200056,6.27
39,Fashion,eyeshadow,00000000000000000000000000000010000000000000000000000000000000000000000000000,1440681398,9.67
8,Entertainment,words,00000000000000000000000000000000000100000000000000000000000000000000000000000,1455960470,2.32
27,Travel&Active&Sports,choreography,00000000000000000000000000010000000000000000000000000000000000000000000000000,1450150304,4.25
24,Travel&Active&Sports,visiting,00000000000000000000000010000000000000000000000000000000000000000000000000000,1439698642,2.81
21,Travel&Active&Sports,travel,00000000000000000000000010000000000000000000000000000000000000000000000000000,1438658504,2.81
16,Travel&Active&Sports,exoticcars,00000000000000000000000000000000000000001000000000000000000000000000000000000,1442736458,6.27
57,Animal,freshwater,00000000000000000000000000000000000000010000000000000000000000000000000000000,1451523520,6.85
14,Fashion,eyebrows,00000000000000000000000000000010000000000000000000000000000000000000000000000,1438569827,8.18
4,Entertainment,book,00000000000000000000000000000000000100000000000000000000000000000000000000000,1448180381,10.82
48,Entertainment,literature,00000000000000000000000000000000000100000000000000000000000000000000000000000,1442028929,5.78
26,Food,thirsty,00001000000000000000000000000000000000000000000000000000000000000000000000000,1436609602,5.93
14,Holiday&Celebrations,congratulations,00000000100000000000000000000000000000000000000000000000000000000000000000000,1439837136,7.33
21,Social&People,gettingready,00000000000000000000001100000000000000000000000000000000000000000000000000000,1431152131,7.72
58,Travel&Active&Sports,pads,00000000010000000000000000000000000000000000000000000000000000000000000000000,1441195192,7.43
31,Entertainment,reader,00000000000000000000000000000000000100000000000000000000000000000000000000000,1447155443,9.55
3,Fashion,tar,00000000000000000000000000000010000000000000000000000000000000000000000000000,1443326487,4.25
26,Food,liquor,00001000000000000000000000000000000000000000000000000000000000000000000000000,1450422155,8.07
18,Urban,perspective,00000000000000000000100000000000000000000000000000000000000000000000000000000,1429259687,4.86
71,Travel&Active&Sports,beam,00000100000000000000000000000000000000000000000000000000000000000000000000000,1456444893,11.01
14,Food,teacup,00000000000000000000000000000000000000000000000000000000000000000010000000000,1442543304,7.17
53,Holiday&Celebrations,partying,00000001000000000000000000000000000000000000000000000000000000000000000000000,1456589522,6.91
35,Fashion,sneakerhead,00000000000000000000000000000000000000000000000001000000000000000000000000000,1431213888,9.69
10,Urban,architectureporn,00000000000000000000100000000000000000000000000000000000000000000000000000000,1429859633,5.81
12,Holiday&Celebrations,thanks,00000000000001000000000000000000000000000000000000000000000000000000000000000,1447326862,5.58
8,Entertainment,beats,00000010000000000000000000000000000000000000000000000000000000000000000000000,1441532326,7.64
4,Fashion,navel,00000000000000000000000000000000010000000000000000000000000000000000000000000,1433088000,9.75
5,Holiday&Celebrations,thanksgiving,00000000000001000000000000000000000000000000000000000000000000000000000000000,1448195385,6.49
8,Entertainment,theatre,00100000000000000000000000000000000000000000000000000000000000000000000000000,1454526811,5.13
2,Travel&Active&Sports,flex,00000000000000000000000000000000000000000000000000000001000000000000000000000,1456459595,2.81
7,Travel&Active&Sports,rideout,00000000000000000000000000000000000000000000000100000000000000000000000000000,1439618941,4.86
41,Fashion,eyebrows,00000000000000000000000000000010000000000000000000000000000000000000000000000,1452050046,5.67
