1,1,11.18
2,17,15.15
3,40,10.99
4,43,8.63
5,50,11.16
2,18,12.74
2,18,11.46
2,18,10.62
2,18,14.24
3,39,6.51
4,45,5.00
4,44,13.62
3,39,9.67
3,39,8.85
3,39,8.67
3,39,8.61
3,39,9.00
3,39,8.96
3,39,8.52
3,39,9.37
3,39,7.93
3,39,9.04
3,39,8.66
3,39,8.39
3,39,8.52
3,39,8.79
3,39,9.29
3,39,9.10
3,39,9.18
3,39,9.63
3,39,10.14
3,39,8.31
3,39,8.57
3,39,9.13
3,39,9.09
3,39,8.38
3,39,9.24
3,39,9.67
2,19,12.16
1,9,15.06
3,39,8.98
3,39,7.67
3,39,9.09
3,39,9.38
3,39,8.83
3,39,7.55
3,39,7.72
3,39,8.86
3,39,7.72
3,39,8.94
3,39,7.64
3,39,9.08
3,39,9.14
3,39,8.83
3,39,9.29
3,39,9.13
3,39,9.46
3,39,9.61
3,39,9.85
3,39,10.33
3,39,9.99
3,39,11.29
3,39,10.83
3,39,10.27
3,39,10.38
3,39,9.24
3,39,9.39
3,39,10.78
3,39,10.98
3,39,10.30
3,39,10.97
3,39,11.64
3,39,10.74
3,39,11.10
3,39,10.56
3,39,10.60
3,39,11.37
3,39,10.93
3,39,11.44
3,39,11.58
3,39,11.18
3,39,11.72
3,39,10.91
3,39,10.61
3,39,10.48
3,39,11.06
3,39,9.82
3,39,10.18
3,39,10.61
3,39,10.73
3,39,11.48
3,39,10.70
3,39,12.48
3,39,12.23
3,39,12.80
3,39,13.17
3,39,12.78
3,39,12.50
3,39,12.40
3,39,10.01
3,39,10.40
3,39,11.10
3,39,13.12
3,39,11.54
3,39,10.20
3,39,11.56
3,39,10.86
3,39,10.65
3,39,10.54
3,39,10.70
3,39,8.92
3,39,11.25
5,50,9.13
3,39,12.10
3,39,12.11
3,39,12.23
3,39,3.70
3,40,13.21
3,39,10.38
3,39,11.21
3,39,11.89
3,39,10.63
3,39,10.74
3,39,10.87
3,39,8.47
2,17,12.38
6,55,8.67
3,39,12.02
2,17,13.83
3,39,11.01
7,63,14.54
3,39,10.76
3,39,10.54
3,39,11.36
3,39,11.12
7,63,11.17
4,46,10.10
1,4,10.92
4,44,12.45
1,1,12.36
8,68,9.99
9,70,13.60
10,75,10.64
6,56,13.65
9,71,14.68
10,75,14.35
10,75,10.93
10,76,15.20
9,72,15.02
9,73,12.61
9,72,16.30
3,40,12.22
2,29,12.35
5,50,11.48
6,57,11.24
7,64,11.64
8,68,10.30
2,27,12.05
2,27,11.39
6,58,9.52
6,58,7.33
6,58,7.79
6,58,8.42
6,58,8.55
4,47,7.79
4,43,7.67
3,39,5.32
1,5,14.18
1,9,15.02
3,39,3.32
3,39,8.38
3,39,8.43
3,39,8.38
3,39,3.46
1,6,12.08
5,51,10.65
5,51,12.82
2,27,14.62
1,7,13.70
10,76,14.08
2,27,14.61
4,48,12.75
3,39,6.94
6,56,14.51
5,51,10.78
5,51,13.13
3,38,12.15
10,76,12.38
8,69,13.03
3,39,8.58
1,2,10.60
1,6,14.33
10,76,12.26
10,76,12.41
3,39,11.90
10,76,11.04
2,28,11.54
7,65,12.79
2,29,13.80
10,76,11.54
