12,1,1,11.18
65,2,17,15.15
23,3,40,10.99
9,4,43,8.63
19,5,50,11.16
37,2,18,12.74
37,2,18,11.46
37,2,18,10.62
37,2,18,14.24
22,3,39,6.51
1,4,45,5.00
75,4,44,13.62
46,3,39,9.67
46,3,39,8.85
46,3,39,8.67
46,3,39,8.61
46,3,39,9.00
51,3,39,8.96
44,3,39,8.52
44,3,39,9.37
46,3,39,7.93
44,3,39,9.04
44,3,39,8.66
46,3,39,8.39
46,3,39,8.52
46,3,39,8.79
46,3,39,9.29
47,3,39,9.10
46,3,39,9.18
46,3,39,9.63
46,3,39,10.14
46,3,39,8.31
47,3,39,8.57
46,3,39,9.13
51,3,39,9.09
46,3,39,8.38
46,3,39,9.24
46,3,39,9.67
6,2,19,12.16
35,1,9,15.06
46,3,39,8.98
46,3,39,7.67
46,3,39,9.09
46,3,39,9.38
46,3,39,8.83
46,3,39,7.55
46,3,39,7.72
46,3,39,8.86
46,3,39,7.72
46,3,39,8.94
46,3,39,7.64
46,3,39,9.08
46,3,39,9.14
46,3,39,8.83
46,3,39,9.29
46,3,39,9.13
46,3,39,9.46
46,3,39,9.61
46,3,39,9.85
46,3,39,10.33
46,3,39,9.99
46,3,39,11.29
46,3,39,10.83
46,3,39,10.27
46,3,39,10.38
46,3,39,9.24
46,3,39,9.39
46,3,39,10.78
46,3,39,10.98
46,3,39,10.30
46,3,39,10.97
46,3,39,11.64
46,3,39,10.74
46,3,39,11.10
46,3,39,10.56
46,3,39,10.60
46,3,39,11.37
46,3,39,10.93
46,3,39,11.44
46,3,39,11.58
46,3,39,11.18
46,3,39,11.72
46,3,39,10.91
46,3,39,10.61
46,3,39,10.48
46,3,39,11.06
46,3,39,9.82
46,3,39,10.18
46,3,39,10.61
46,3,39,10.73
46,3,39,11.48
47,3,39,10.70
47,3,39,12.48
47,3,39,12.23
46,3,39,12.80
47,3,39,13.17
47,3,39,12.78
47,3,39,12.50
46,3,39,12.40
46,3,39,10.01
46,3,39,10.40
46,3,39,11.10
47,3,39,13.12
46,3,39,11.54
46,3,39,10.20
46,3,39,11.56
46,3,39,10.86
47,3,39,10.65
46,3,39,10.54
46,3,39,10.70
49,3,39,8.92
47,3,39,11.25
13,5,50,9.13
46,3,39,12.10
46,3,39,12.11
46,3,39,12.23
49,3,39,3.70
29,3,40,13.21
46,3,39,10.38
46,3,39,11.21
46,3,39,11.89
46,3,39,10.63
46,3,39,10.74
46,3,39,10.87
46,3,39,8.47
27,2,17,12.38
17,6,55,8.67
46,3,39,12.02
67,2,17,13.83
46,3,39,11.01
35,7,63,14.54
46,3,39,10.76
46,3,39,10.54
46,3,39,11.36
46,3,39,11.12
35,7,63,11.17
8,4,46,10.10
7,1,4,10.92
29,4,44,12.45
12,1,1,12.36
59,8,68,9.99
49,9,70,13.60
64,10,75,10.64
72,6,56,13.65
46,9,71,14.68
63,10,75,14.35
65,10,75,10.93
21,10,76,15.20
17,9,72,15.02
75,9,73,12.61
19,9,72,16.30
72,3,40,12.22
60,2,29,12.35
58,5,50,11.48
71,6,57,11.24
28,7,64,11.64
29,8,68,10.30
30,2,27,12.05
38,2,27,11.39
43,6,58,9.52
41,6,58,7.33
44,6,58,7.79
45,6,58,8.42
45,6,58,8.55
24,4,47,7.79
16,4,43,7.67
57,3,39,5.32
18,1,5,14.18
15,1,9,15.02
49,3,39,3.32
49,3,39,8.38
49,3,39,8.43
49,3,39,8.38
49,3,39,3.46
75,1,6,12.08
31,5,51,10.65
27,5,51,12.82
51,2,27,14.62
48,1,7,13.70
20,10,76,14.08
21,2,27,14.61
70,4,48,12.75
30,3,39,6.94
54,6,56,14.51
22,5,51,10.78
74,5,51,13.13
57,3,38,12.15
43,10,76,12.38
75,8,69,13.03
55,3,39,8.58
31,1,2,10.60
69,1,6,14.33
39,10,76,12.26
37,10,76,12.41
53,3,39,11.90
74,10,76,11.04
8,2,28,11.54
23,7,65,12.79
74,2,29,13.80
74,10,76,11.54
58,10,76,9.87
27,8,68,10.56
25,10,76,10.52
33,10,76,10.14
19,10,76,11.70
58,10,76,12.49
57,10,76,8.37
35,10,76,8.18
41,10,76,10.30
49,3,39,7.71
49,3,39,8.09
49,3,39,8.61
49,3,39,8.15
49,3,39,8.09
49,3,39,8.02
49,3,39,8.16
71,10,76,10.61
72,2,32,11.46
55,4,47,12.74
46,3,39,10.37
49,3,39,8.00
49,3,39,7.98
49,3,39,8.38
71,10,76,11.45
9,7,63,11.01
71,3,38,10.42
52,3,39,8.48
49,3,39,8.82
70,3,38,10.66
72,4,48,10.57
50,3,39,8.49
46,3,39,7.87
50,3,39,11.34
74,8,69,14.22
23,5,51,15.37
42,5,51,15.90
74,10,75,10.02
74,10,75,10.01
18,1,6,14.84
71,4,48,10.38
29,10,75,11.87
64,8,68,10.71
26,8,68,8.78
73,4,48,10.56
63,9,73,14.04
67,9,73,13.94
74,4,46,13.72
12,10,76,13.17
42,1,3,14.29
16,4,46,7.78
61,10,75,10.93
53,5,52,11.56
43,3,40,13.40
70,5,51,10.76
50,5,52,10.50
51,5,52,10.66
68,10,75,11.26
65,10,76,13.58
71,10,76,14.07
