40,1,5
9,5,51
21,2,18
7,9,73
54,7,63
15,7,65
18,9,2
22,1,9
12,6,55
31,10,76
6,11,77
9,1,11
20,2,18
9,3,38
5,2,20
54,7,63
54,7,63
22,1,9
9,2,18
18,6,56
19,1,14
22,1,9
45,2,25
45,2,25
12,6,59
54,7,63
15,6,62
13,6,55
20,6,56
50,4,47
70,2,32
35,3,38
54,7,63
22,7,65
5,11,77
22,1,9
6,6,55
23,1,4
9,2,28
22,1,9
48,2,35
12,7,64
3,7,67
54,7,63
42,10,75
9,3,38
4,1,5
22,1,9
47,2,18
15,3,38
8,9,73
54,7,63
54,7,63
45,2,25
54,7,63
10,6,56
21,5,51
26,2,18
54,7,63
28,2,32
54,7,63
17,2,32
10,2,22
22,6,57
12,3,39
22,1,9
43,2,25
19,5,50
3,2,23
54,7,63
54,7,63
16,2,32
3,2,18
22,1,9
19,1,4
22,1,9
45,2,25
54,7,63
22,7,65
22,1,9
55,1,8
10,6,56
54,7,63
5,6,59
7,1,11
54,7,63
7,3,38
26,4,44
9,5,53
7,9,73
54,7,63
50,7,67
54,7,63
8,3,38
22,1,9
54,7,63
9,3,38
54,7,63
22,1,9
9,2,28
15,5,51
21,9,73
7,9,73
13,2,32
9,2,29
54,7,63
22,1,9
7,9,73
12,4,48
54,7,63
22,1,9
45,2,25
28,1,4
7,4,47
54,7,63
7,3,39
7,4,45
13,7,65
7,2,32
54,7,63
54,7,63
7,9,73
22,1,9
13,6,55
3,2,23
26,1,5
7,5,50
22,1,9
7,9,73
22,1,9
54,7,63
22,10,76
29,1,5
52,2,29
45,2,25
8,6,57
22,1,9
22,1,9
8,3,38
45,2,25
54,7,63
5,5,51
14,9,73
13,2,18
54,7,63
11,9,71
5,5,51
22,1,9
15,7,64
14,11,77
54,7,63
22,1,9
11,4,47
28,5,52
54,7,63
54,7,63
22,1,9
54,7,63
45,2,25
17,8,68
23,2,28
7,6,55
9,3,38
17,1,4
7,7,64
22,1,9
6,8,68
22,1,9
12,7,64
12,2,18
54,7,63
22,1,9
44,1,9
7,9,73
22,1,9
22,1,9
24,2,18
17,1,4
7,7,67
54,7,63
10,2,35
5,6,59
22,1,9
14,2,28
14,3,38
7,9,73
22,1,9
6,11,77
22,1,9
54,7,63
29,7,65
22,1,9
9,2,28
12,10,75
9,3,38
6,2,18
56,3,38
54,7,63
54,7,63
7,9,73
