Fashion,00001000000000000000000000000000000000000000000000000000000000000000000000000,gloss,40,1457137184
Food,00000000000000000000000000000000000000000000000000100000000000000000000000000,desserts,9,1457166190
Travel&Active&Sports,00000000000000000100000000000000000000000000000000000000000000000000000000000,bars,21,1457245340
Social&People,00000000000000000000000000000000000000000000000000000000000000000000000011000,wake,7,1457242574
Animal,00000000000000000000000000000000000000000000000000000000000000100000000000000,jockey,54,1457242139
Animal,00000000000000000000000000000000000000000000000000000000000000001000000000000,freshwater,15,1456810094
Social&People,01000000000000000000000000000000000000000000000000000000000000000000000000000,dude,18,1456813317
Fashion,00000000100000000000000000000000000000000000000000000000000000000000000000000,haircut,22,1457137133
Whether&Season,00000000000000000000000000000000000000000000000000000010000000000000000000000,raining,12,1456806290
Urban,00000000000000000000000000000000000000000000000000000000000000000000000000010,lookingup,31,1457251814
Electronics,00000000000000000000000000000000000000000000000000000000000000000000000000001,electronics,6,1457252952
Fashion,00000000001000000000000000000000000000000000000000000000000000000000000000000,whatiwore,9,1457253915
Travel&Active&Sports,00000000000000000100000000000000000000000000000000000000000000000000000000000,beam,20,1457113757
Entertainment,00000000000000000000000000000000000001000000000000000000000000000000000000000,stories,9,1457170265
Travel&Active&Sports,00000000000000000001000000000000000000000000000000000000000000000000000000000,bases,5,1456793927
Animal,00000000000000000000000000000000000000000000000000000000000000100000000000000,jockey,54,1457240919
Animal,00000000000000000000000000000000000000000000000000000000000000100000000000000,jockey,54,1457240754
Fashion,00000000100000000000000000000000000000000000000000000000000000000000000000000,haircut,22,1457144655
Travel&Active&Sports,00000000000000000100000000000000000000000000000000000000000000000000000000000,bars,9,1457245377
Whether&Season,00000000000000000000000000000000000000000000000000000001000000000000000000000,sunrays,18,1457145889
Fashion,00000000000001000000000000000000000000000000000000000000000000000000000000000,bracelets,19,1457055576
Fashion,00000000100000000000000000000000000000000000000000000000000000000000000000000,haircut,22,1457136846
Travel&Active&Sports,00000000000000000000000010000000000000000000000000000000000000000000000000000,cheering,45,1456988977
Travel&Active&Sports,00000000000000000000000010000000000000000000000000000000000000000000000000000,cheering,45,1456988982
Whether&Season,00000000000000000000000000000000000000000000000000000000001000000000000000000,snowfall,12,1457160465
Animal,00000000000000000000000000000000000000000000000000000000000000100000000000000,jockey,54,1457245213
Whether&Season,00000000000000000000000000000000000000000000000000000000000001000000000000000,wintertime,15,1457165226
Whether&Season,00000000000000000000000000000000000000000000000000000010000000000000000000000,puddle,13,1457263906
Whether&Season,00000000000000000000000000000000000000000000000000000001000000000000000000000,sunrays,20,1457128634
Holiday&Celebrations,00000000000000000000000000000000000000000000001000000000000000000000000000000,treat,50,1457162922
Travel&Active&Sports,00000000000000000000000000000001000000000000000000000000000000000000000000000,freeway,70,1457233173
Entertainment,00000000000000000000000000000000000001000000000000000000000000000000000000000,imagine,35,1456912561
Animal,00000000000000000000000000000000000000000000000000000000000000100000000000000,jockey,54,1457243239
Animal,00000000000000000000000000000000000000000000000000000000000000001000000000000,reeftank,22,1457254300
Electronics,00000000000000000000000000000000000000000000000000000000000000000000000000001,gadgets,5,1457014512
Fashion,00000000100000000000000000000000000000000000000000000000000000000000000000000,haircut,22,1457137997
Whether&Season,00000000000000000000000000000000000000000000000000000010000000000000000000000,puddle,6,1457162034
Fashion,00010000000000000000000000000000000000000000000000000000000000000000000000000,bling,23,1457083465
Travel&Active&Sports,00000000000000000000000000010000000000000000000000000000000000000000000000000,skatepark,9,1457146808
Fashion,00000000100000000000000000000000000000000000000000000000000000000000000000000,haircut,22,1457144621
Travel&Active&Sports,00000000000000000000000000000000001100000000000000000000000000000000000000000,diet,48,1456948679
Animal,00000000000000000000000000000000000000000000000000000000000000010000000000000,creatures,12,1456790646
Animal,00000000000000000000000000000000000000000000000000000000000000000010000000000,pup,3,1457240915
Animal,00000000000000000000000000000000000000000000000000000000000000100000000000000,jockey,54,1457245238
